,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,train_rmse_mean,train_rmse_std,val_rmse_mean,val_rmse_std
0,23.0,sqrt,1,4,240,204.38608038855037,5.838809123986747,532.8540260818589,57.80881168205261
1,23.0,sqrt,1,4,245,204.39955968196352,5.376928856890874,532.14384163942,58.71349332276998
2,23.0,sqrt,1,4,250,204.24227443096171,5.3208766577581175,531.3636480238271,58.61657032311222
3,23.0,sqrt,1,4,255,204.0729053516452,5.258435115582687,531.3489673657117,58.6677311232946
4,23.0,sqrt,1,4,260,204.1577514709411,5.12604333245234,531.7163097955912,58.44987642460586
5,25.0,sqrt,1,4,240,204.38493187888605,5.829475929560804,532.9255971986255,57.82444527162755
6,25.0,sqrt,1,4,245,204.3993711230162,5.368352122708981,532.2133724955967,58.73008645039452
7,25.0,sqrt,1,4,250,204.24316584517592,5.314414371746215,531.4327812635091,58.63316774971762
8,25.0,sqrt,1,4,255,204.073345172151,5.2512338443316695,531.4164710798683,58.68308999370516
9,25.0,sqrt,1,4,260,204.15848357994366,5.119738069516548,531.7818713460916,58.46554899942716
10,27.0,sqrt,1,4,240,204.3881574117288,5.831410006941011,532.929501123564,57.8201464015356
11,27.0,sqrt,1,4,245,204.40238316770603,5.369981150656134,532.2172162182039,58.725847616968785
12,27.0,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
13,27.0,sqrt,1,4,255,204.07620427678754,5.252654607156338,531.4203980450822,58.67887534679728
14,27.0,sqrt,1,4,260,204.16109340632147,5.120907806994086,531.7861063561713,58.46101095996794
15,28.0,sqrt,1,4,240,204.3881574117288,5.831410006941011,532.929501123564,57.8201464015356
16,28.0,sqrt,1,4,245,204.40238316770603,5.369981150656134,532.2172162182039,58.725847616968785
17,28.0,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
18,28.0,sqrt,1,4,255,204.07620427678754,5.252654607156338,531.4203980450822,58.67887534679728
19,28.0,sqrt,1,4,260,204.16109340632147,5.120907806994086,531.7861063561713,58.46101095996794
20,29.0,sqrt,1,4,240,204.3881574117288,5.831410006941011,532.929501123564,57.8201464015356
21,29.0,sqrt,1,4,245,204.40238316770603,5.369981150656134,532.2172162182039,58.725847616968785
22,29.0,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
23,29.0,sqrt,1,4,255,204.07620427678754,5.252654607156338,531.4203980450822,58.67887534679728
24,29.0,sqrt,1,4,260,204.16109340632147,5.120907806994086,531.7861063561713,58.46101095996794
25,30.0,sqrt,1,4,240,204.3881574117288,5.831410006941011,532.929501123564,57.8201464015356
26,30.0,sqrt,1,4,245,204.40238316770603,5.369981150656134,532.2172162182039,58.725847616968785
27,30.0,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
28,30.0,sqrt,1,4,255,204.07620427678754,5.252654607156338,531.4203980450822,58.67887534679728
29,30.0,sqrt,1,4,260,204.16109340632147,5.120907806994086,531.7861063561713,58.46101095996794
30,31.0,sqrt,1,4,240,204.3881574117288,5.831410006941011,532.929501123564,57.8201464015356
31,31.0,sqrt,1,4,245,204.40238316770603,5.369981150656134,532.2172162182039,58.725847616968785
32,31.0,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
33,31.0,sqrt,1,4,255,204.07620427678754,5.252654607156338,531.4203980450822,58.67887534679728
34,31.0,sqrt,1,4,260,204.16109340632147,5.120907806994086,531.7861063561713,58.46101095996794
35,32.0,sqrt,1,4,240,204.3881574117288,5.831410006941011,532.929501123564,57.8201464015356
36,32.0,sqrt,1,4,245,204.40238316770603,5.369981150656134,532.2172162182039,58.725847616968785
37,32.0,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
38,32.0,sqrt,1,4,255,204.07620427678754,5.252654607156338,531.4203980450822,58.67887534679728
39,32.0,sqrt,1,4,260,204.16109340632147,5.120907806994086,531.7861063561713,58.46101095996794
40,33.0,sqrt,1,4,240,204.3881574117288,5.831410006941011,532.929501123564,57.8201464015356
41,33.0,sqrt,1,4,245,204.40238316770603,5.369981150656134,532.2172162182039,58.725847616968785
42,33.0,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
43,33.0,sqrt,1,4,255,204.07620427678754,5.252654607156338,531.4203980450822,58.67887534679728
44,33.0,sqrt,1,4,260,204.16109340632147,5.120907806994086,531.7861063561713,58.46101095996794
45,,sqrt,1,4,240,204.3881574117288,5.831410006941011,532.929501123564,57.8201464015356
46,,sqrt,1,4,245,204.40238316770603,5.369981150656134,532.2172162182039,58.725847616968785
47,,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
48,,sqrt,1,4,255,204.07620427678754,5.252654607156338,531.4203980450822,58.67887534679728
49,,sqrt,1,4,260,204.16109340632147,5.120907806994086,531.7861063561713,58.46101095996794
