,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,train_rmse_mean,train_rmse_std,val_rmse_mean,val_rmse_std
0,17.0,sqrt,1,4,250,204.57915846971864,5.56943601379772,533.0940973409663,58.59421378275556
1,17.0,sqrt,1,4,275,204.3048957938836,5.54749423535671,533.3237914438037,59.37786470199323
2,17.0,sqrt,1,4,300,203.56825474628968,5.218826986549548,533.55157766067,58.72680120551454
3,17.0,sqrt,1,4,325,202.93763538460607,5.086513268216683,534.8294327070706,58.46003491403352
4,17.0,sqrt,1,4,350,203.29075124054205,4.590730664544849,534.75234499005,58.89654055756903
5,20.0,sqrt,1,4,250,204.35504643550266,5.357651125532624,531.7626054460517,58.80293371481243
6,20.0,sqrt,1,4,275,204.18552045216748,5.387960904216673,532.1381294364513,59.05003981591967
7,20.0,sqrt,1,4,300,203.45502347356629,5.171633102710733,532.5039382273127,58.445844656811744
8,20.0,sqrt,1,4,325,202.8357165815696,5.044234614728914,533.7542537696294,58.066515412087135
9,20.0,sqrt,1,4,350,203.12168272499477,4.503124295171679,533.8576329359115,58.762106960901384
10,23.0,sqrt,1,4,250,204.24227443096171,5.3208766577581175,531.3636480238271,58.61657032311222
11,23.0,sqrt,1,4,275,204.0689261305297,5.4034055608690785,531.9156466425762,58.92755488249762
12,23.0,sqrt,1,4,300,203.3843461422441,5.239224979188727,532.3848319184938,58.300658011899756
13,23.0,sqrt,1,4,325,202.7859383016962,5.121157516791865,533.7571177564802,58.094177876256424
14,23.0,sqrt,1,4,350,203.07629842107136,4.575505823887006,533.8384939831622,58.797565487730985
15,25.0,sqrt,1,4,250,204.24316584517592,5.314414371746215,531.4327812635091,58.63316774971762
16,25.0,sqrt,1,4,275,204.06967329348643,5.396761107839373,531.9773494334437,58.940242056271266
17,25.0,sqrt,1,4,300,203.35591828800708,5.2049341949227435,532.4136789959456,58.329228444326674
18,25.0,sqrt,1,4,325,202.76315553920824,5.093285292058437,533.7744161987102,58.13024417171044
19,25.0,sqrt,1,4,350,203.0546553186522,4.549208707406112,533.8574829873318,58.82954510019813
20,27.0,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
21,27.0,sqrt,1,4,275,204.07193331134704,5.397790099383027,531.9811860363053,58.9362294969188
22,27.0,sqrt,1,4,300,203.3575557008428,5.205721663299689,532.4171946773116,58.32532455338697
23,27.0,sqrt,1,4,325,202.7645912170299,5.093826881193476,533.7781660970626,58.12609361157552
24,27.0,sqrt,1,4,350,203.05547032557047,4.549457656532563,533.8609962868459,58.82574243988829
25,30.0,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
26,30.0,sqrt,1,4,275,204.07193331134704,5.397790099383027,531.9811860363053,58.9362294969188
27,30.0,sqrt,1,4,300,203.3575557008428,5.205721663299689,532.4171946773116,58.32532455338697
28,30.0,sqrt,1,4,325,202.7645912170299,5.093826881193476,533.7781660970626,58.12609361157552
29,30.0,sqrt,1,4,350,203.05547032557047,4.549457656532563,533.8609962868459,58.82574243988829
30,33.0,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
31,33.0,sqrt,1,4,275,204.07193331134704,5.397790099383027,531.9811860363053,58.9362294969188
32,33.0,sqrt,1,4,300,203.3575557008428,5.205721663299689,532.4171946773116,58.32532455338697
33,33.0,sqrt,1,4,325,202.7645912170299,5.093826881193476,533.7781660970626,58.12609361157552
34,33.0,sqrt,1,4,350,203.05547032557047,4.549457656532563,533.8609962868459,58.82574243988829
35,,sqrt,1,4,250,204.24579247564284,5.315659279179508,531.436503044929,58.62914165293209
36,,sqrt,1,4,275,204.07193331134704,5.397790099383027,531.9811860363053,58.9362294969188
37,,sqrt,1,4,300,203.3575557008428,5.205721663299689,532.4171946773116,58.32532455338697
38,,sqrt,1,4,325,202.7645912170299,5.093826881193476,533.7781660970626,58.12609361157552
39,,sqrt,1,4,350,203.05547032557047,4.549457656532563,533.8609962868459,58.82574243988829
