,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,train_rmse_mean,train_rmse_std,val_rmse_mean,val_rmse_std
0,5.0,sqrt,1,2,300,396.7178576129989,10.755968692343389,576.9718072447973,75.3540944472897
1,5.0,sqrt,1,2,500,395.91872742594774,10.945942725115092,575.5514174700442,75.41169140689023
2,5.0,sqrt,1,2,1000,395.9167503595095,10.504180976729275,578.9742379716398,73.50557660476319
3,5.0,sqrt,1,4,300,399.54735448411583,10.547437656707805,581.7132891939891,72.98077229638004
4,5.0,sqrt,1,4,500,399.0806216793419,9.856865857341045,579.1331637543111,72.72027648888763
5,5.0,sqrt,1,4,1000,399.7741837739671,9.692808587614731,580.7390079088783,72.04360744415668
6,5.0,sqrt,1,8,300,412.04272337626213,10.797918177056605,581.015631026681,73.04885851093272
7,5.0,sqrt,1,8,500,411.9679786856971,10.60713573146414,579.261471747889,72.01433252329308
8,5.0,sqrt,1,8,1000,412.7467271120811,10.976257514873756,578.8293975238976,70.6920368796314
9,5.0,sqrt,2,2,300,401.43275535704925,11.343332911481408,577.8390484932368,76.89790186411602
10,5.0,sqrt,2,2,500,401.38053856696564,10.793031464133607,575.1569981879649,76.04658027276332
11,5.0,sqrt,2,2,1000,401.6319320424952,10.86064576450097,575.4001744420721,73.37484962120587
12,5.0,sqrt,2,4,300,401.43275535704925,11.343332911481408,577.8390484932368,76.89790186411602
13,5.0,sqrt,2,4,500,401.38053856696564,10.793031464133607,575.1569981879649,76.04658027276332
14,5.0,sqrt,2,4,1000,401.6319320424952,10.86064576450097,575.4001744420721,73.37484962120587
15,5.0,sqrt,2,8,300,414.8131482752146,12.732316504569228,576.1368661046064,73.36838262133556
16,5.0,sqrt,2,8,500,414.78394404135753,12.184596303168535,576.6184988852234,72.12244697848098
17,5.0,sqrt,2,8,1000,415.0701913402893,12.483335007698166,576.6186360451234,71.69742882485667
18,5.0,sqrt,5,2,300,446.8703957143204,13.58559701773894,599.2367612711504,75.10069908695444
19,5.0,sqrt,5,2,500,446.8297660659335,12.875285847648348,599.2454895702408,75.5795132041689
20,5.0,sqrt,5,2,1000,447.03455249077746,13.942564673386348,599.5728394815964,74.71176455120057
21,5.0,sqrt,5,4,300,446.8703957143204,13.58559701773894,599.2367612711504,75.10069908695444
22,5.0,sqrt,5,4,500,446.8297660659335,12.875285847648348,599.2454895702408,75.5795132041689
23,5.0,sqrt,5,4,1000,447.03455249077746,13.942564673386348,599.5728394815964,74.71176455120057
24,5.0,sqrt,5,8,300,446.8703957143204,13.58559701773894,599.2367612711504,75.10069908695444
25,5.0,sqrt,5,8,500,446.8297660659335,12.875285847648348,599.2454895702408,75.5795132041689
26,5.0,sqrt,5,8,1000,447.03455249077746,13.942564673386348,599.5728394815964,74.71176455120057
27,5.0,log2,1,2,300,402.89395880170497,10.960990566669455,583.1248699628203,71.51382649171792
28,5.0,log2,1,2,500,402.8813732510334,10.781145613075823,582.0502340372232,70.35591518793153
